target	x	y
u	98	133
u	104	229
u	95	483
u	101	562
u	193	233
u	205	407
u	217	674
u	208	1022
u	328	135
u	312	407
u	327	757
u	306	832
u	443	61
u	438	240
u	423	677
u	450	769
u	561	156
u	559	250
u	574	499
u	557	841
u	667	64
u	654	568
u	689	676
u	673	824
u	774	58
u	766	417
u	791	654
u	800	1020
u	915	69
u	895	321
u	894	395
u	880	584
u	1021	242
u	1025	309
u	1002	423
u	1007	1008
u	1143	253
u	1122	413
u	1139	916
u	1134	1029
u	1251	247
u	1235	494
u	1233	747
u	1236	842
u	1377	46
u	1367	170
u	1360	682
u	1345	845
u	1471	163
u	1479	332
u	1461	494
u	1473	909
u	1572	329
u	1587	487
u	1584	844
u	1582	933
u	1721	218
u	1705	323
u	1720	498
u	1721	752
u	1807	54
u	1832	243
u	1821	739
u	1827	1006
